rank,model_path,active_site_to_target_distance,productive,lox_contacts,cbd_contacts,closest_active_site_resi,warning
1,examples\real_hdock_round5\cleaned_models\model_1.pdb,16.00293559126112,False,138,0,355,
2,examples\real_hdock_round5\cleaned_models\model_2.pdb,12.025071907624094,False,130,0,355,
3,examples\real_hdock_round5\cleaned_models\model_3.pdb,6.159133087608157,True,117,0,355,
4,examples\real_hdock_round5\cleaned_models\model_4.pdb,16.0950055721713,False,93,0,355,
5,examples\real_hdock_round5\cleaned_models\model_5.pdb,7.546303777698536,True,131,0,292,
6,examples\real_hdock_round5\cleaned_models\model_6.pdb,12.249257934304989,False,138,0,355,
7,examples\real_hdock_round5\cleaned_models\model_7.pdb,13.66095190287215,False,113,0,355,
8,examples\real_hdock_round5\cleaned_models\model_8.pdb,15.361813963453095,False,111,0,355,
9,examples\real_hdock_round5\cleaned_models\model_9.pdb,10.781977805796108,False,141,0,355,
10,examples\real_hdock_round5\cleaned_models\model_10.pdb,17.27184139867821,False,83,0,355,
